,Missing Values,Percentage
PID,0,0.0
GrLivArea,0,0.0
SalePrice,0,0.0
MSSubClass,0,0.0
MSZoning,0,0.0
LotFrontage,462,17.913920124079098
LotArea,0,0.0
Street,0,0.0
Alley,2411,93.4858472276076
LotShape,0,0.0
LandContour,0,0.0
Utilities,0,0.0
LotConfig,0,0.0
LandSlope,0,0.0
Neighborhood,0,0.0
Condition1,0,0.0
Condition2,0,0.0
BldgType,0,0.0
HouseStyle,0,0.0
OverallQual,0,0.0
OverallCond,0,0.0
YearBuilt,0,0.0
YearRemodAdd,0,0.0
RoofStyle,0,0.0
RoofMatl,0,0.0
Exterior1st,0,0.0
Exterior2nd,0,0.0
MasVnrType,1572,60.95385808452889
MasVnrArea,14,0.5428460643660333
ExterQual,0,0.0
ExterCond,0,0.0
Foundation,0,0.0
BsmtQual,69,2.6754556029468786
BsmtCond,69,2.6754556029468786
BsmtExposure,71,2.7530050407134548
BsmtFinType1,69,2.6754556029468786
BsmtFinSF1,1,0.038774718883288095
BsmtFinType2,70,2.7142303218301667
BsmtFinSF2,1,0.038774718883288095
BsmtUnfSF,1,0.038774718883288095
TotalBsmtSF,1,0.038774718883288095
Heating,0,0.0
HeatingQC,0,0.0
CentralAir,0,0.0
Electrical,1,0.038774718883288095
1stFlrSF,0,0.0
2ndFlrSF,0,0.0
LowQualFinSF,0,0.0
BsmtFullBath,2,0.07754943776657619
BsmtHalfBath,2,0.07754943776657619
FullBath,0,0.0
HalfBath,0,0.0
BedroomAbvGr,0,0.0
KitchenAbvGr,0,0.0
KitchenQual,0,0.0
TotRmsAbvGrd,0,0.0
Functional,0,0.0
Fireplaces,0,0.0
FireplaceQu,1241,48.11942613416053
GarageType,127,4.924389298177588
GarageYrBlt,129,5.001938735944164
GarageFinish,129,5.001938735944164
GarageCars,1,0.038774718883288095
GarageArea,1,0.038774718883288095
GarageQual,129,5.001938735944164
GarageCond,129,5.001938735944164
PavedDrive,0,0.0
WoodDeckSF,0,0.0
OpenPorchSF,0,0.0
EnclosedPorch,0,0.0
3SsnPorch,0,0.0
ScreenPorch,0,0.0
PoolArea,0,0.0
PoolQC,2570,99.65102753005041
Fence,2054,79.64327258627375
MiscFeature,2482,96.23885226832105
MiscVal,0,0.0
MoSold,0,0.0
YrSold,0,0.0
SaleType,0,0.0
SaleCondition,0,0.0
GeoRefNo,20,0.7754943776657619
Prop_Addr,20,0.7754943776657619
Latitude,97,3.7611477316789452
Longitude,97,3.7611477316789452
